ip,port,username,password,protocols,ping,detected,organisation,country,isocode,latitude,longitude,asn,connections,uptime,dateAdded,lastTested,lastSuccess,detection,provider
1.0.132.249,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=978, connections=ConnectionAttempts(success=59, fail=479), uptime=10.0%), ora_UK=EndpointServerData(ping=786, connections=ConnectionAttempts(success=46, fail=482), uptime=8.0%), ora_JP=EndpointServerData(ping=612, connections=ConnectionAttempts(success=57, fail=476), uptime=10.0%), ms_HK=EndpointServerData(ping=539, connections=ConnectionAttempts(success=41, fail=496), uptime=7.0%))",,"2022-06-09 17:12:52.0","2022-06-09 17:13:06.0",,,
1.0.133.100,51327,,,"[ProtocolDataType(type=socks4, port=51327, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=941, connections=ConnectionAttempts(success=43, fail=488), uptime=8.0%), ora_UK=EndpointServerData(ping=767, connections=ConnectionAttempts(success=46, fail=481), uptime=8.0%), ora_JP=EndpointServerData(ping=601, connections=ConnectionAttempts(success=52, fail=475), uptime=9.0%), ms_HK=EndpointServerData(ping=531, connections=ConnectionAttempts(success=46, fail=483), uptime=8.0%))",,"2022-06-09 17:07:31.0","2022-06-09 17:13:06.0",,,
1.0.137.61,4153,,,"[ProtocolDataType(type=socks4, port=4153, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,12.371199607849121,102.38359832763672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=956, connections=ConnectionAttempts(success=36, fail=473), uptime=7.0%), ora_UK=EndpointServerData(ping=797, connections=ConnectionAttempts(success=26, fail=486), uptime=5.0%), ora_JP=EndpointServerData(ping=1388, connections=ConnectionAttempts(success=28, fail=488), uptime=5.0%), ms_HK=EndpointServerData(ping=585, connections=ConnectionAttempts(success=20, fail=497), uptime=3.0%))",,"2022-06-09 17:02:49.0","2022-06-09 17:13:21.0",,,
1.0.205.87,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,10.234600067138672,99.07990264892578,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=2794, connections=ConnectionAttempts(success=45, fail=953), uptime=4.0%), ora_UK=EndpointServerData(ping=2282, connections=ConnectionAttempts(success=43, fail=968), uptime=4.0%), ora_JP=EndpointServerData(ping=4391, connections=ConnectionAttempts(success=40, fail=961), uptime=3.0%), ms_HK=EndpointServerData(ping=3724, connections=ConnectionAttempts(success=48, fail=965), uptime=4.0%))",,"2022-06-09 17:04:36.0","2022-06-09 17:13:07.0",,,
1.1.220.100,8080,,,"[ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,19.896799087524414,99.83090209960938,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1823, connections=ConnectionAttempts(success=56, fail=973), uptime=5.0%), ora_UK=EndpointServerData(ping=9106, connections=ConnectionAttempts(success=64, fail=958), uptime=6.0%), ora_JP=EndpointServerData(ping=7886, connections=ConnectionAttempts(success=71, fail=954), uptime=6.0%), ms_HK=EndpointServerData(ping=5822, connections=ConnectionAttempts(success=59, fail=966), uptime=5.0%))",,"2022-06-09 17:01:39.0","2022-06-09 17:13:21.0",,,
1.2.252.65,8080,,,"[ProtocolDataType(type=https, port=8080, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=8080, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.616600036621094,100.5531005859375,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=6369, connections=ConnectionAttempts(success=75, fail=944), uptime=7.0%), ora_UK=EndpointServerData(ping=3166, connections=ConnectionAttempts(success=70, fail=963), uptime=6.0%), ora_JP=EndpointServerData(ping=6640, connections=ConnectionAttempts(success=70, fail=960), uptime=6.0%), ms_HK=EndpointServerData(ping=2194, connections=ConnectionAttempts(success=78, fail=947), uptime=7.0%))",,"2022-06-09 17:04:42.0","2022-06-09 17:12:51.0",,,
1.4.195.114,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,15.108400344848633,103.18360137939453,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1002, connections=ConnectionAttempts(success=41, fail=354), uptime=10.0%), ora_UK=EndpointServerData(ping=831, connections=ConnectionAttempts(success=45, fail=346), uptime=11.0%), ora_JP=EndpointServerData(ping=576, connections=ConnectionAttempts(success=36, fail=358), uptime=9.0%), ms_HK=EndpointServerData(ping=592, connections=ConnectionAttempts(success=43, fail=352), uptime=10.0%))",,"2022-06-09 17:10:22.0","2022-06-09 17:10:51.0",,,
1.4.214.148,5678,,,"[ProtocolDataType(type=socks4, port=5678, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,13.805399894714355,100.67510223388672,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=946, connections=ConnectionAttempts(success=48, fail=487), uptime=8.0%), ora_UK=EndpointServerData(ping=763, connections=ConnectionAttempts(success=57, fail=473), uptime=10.0%), ora_JP=EndpointServerData(ping=607, connections=ConnectionAttempts(success=61, fail=473), uptime=11.0%), ms_HK=EndpointServerData(ping=514, connections=ConnectionAttempts(success=50, fail=480), uptime=9.0%))",,"2022-06-09 17:11:05.0","2022-06-09 17:12:51.0",,,
1.9.167.35,60489,,,"[ProtocolDataType(type=socks4, port=60489, tls=true, autoRead=[false])]",,false,"Tmnet, Telekom Malaysia Bhd",Malaysia,MY,3.0608999729156494,101.75240325927734,AS4788,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1049, connections=ConnectionAttempts(success=36, fail=494), uptime=6.0%), ora_UK=EndpointServerData(ping=951, connections=ConnectionAttempts(success=28, fail=504), uptime=5.0%), ora_JP=EndpointServerData(ping=700, connections=ConnectionAttempts(success=34, fail=506), uptime=6.0%), ms_HK=EndpointServerData(ping=638, connections=ConnectionAttempts(success=28, fail=504), uptime=5.0%))",,"2022-06-09 17:03:23.0","2022-06-09 17:13:06.0",,,
1.10.140.43,4145,,,"[ProtocolDataType(type=socks4, port=4145, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,18.783300399780273,100.7833023071289,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1009, connections=ConnectionAttempts(success=57, fail=467), uptime=10.0%), ora_UK=EndpointServerData(ping=798, connections=ConnectionAttempts(success=67, fail=455), uptime=12.0%), ora_JP=EndpointServerData(ping=633, connections=ConnectionAttempts(success=67, fail=450), uptime=12.0%), ms_HK=EndpointServerData(ping=541, connections=ConnectionAttempts(success=48, fail=473), uptime=9.0%))",,"2022-06-09 16:09:03.0","2022-06-09 17:07:07.0",,,
1.10.141.220,54620,,,"[ProtocolDataType(type=https, port=54620, tls=true, autoRead=[false]), ProtocolDataType(type=http, port=54620, tls=true, autoRead=[false]), ProtocolDataType(type=socks4, port=37718, tls=true, autoRead=[false])]",,true,"TOT Public Company Limited",Thailand,TH,18.783300399780273,100.7833023071289,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1778, connections=ConnectionAttempts(success=94, fail=1395), uptime=6.0%), ora_UK=EndpointServerData(ping=4419, connections=ConnectionAttempts(success=99, fail=1418), uptime=6.0%), ora_JP=EndpointServerData(ping=997, connections=ConnectionAttempts(success=92, fail=1406), uptime=6.0%), ms_HK=EndpointServerData(ping=3170, connections=ConnectionAttempts(success=99, fail=1399), uptime=6.0%))",,"2022-06-09 17:13:14.0","2022-06-09 17:13:21.0",,,
1.10.189.133,50855,,,"[ProtocolDataType(type=socks4, port=50855, tls=true, autoRead=[false])]",,false,"TOT Public Company Limited",Thailand,TH,13.866299629211426,100.56449890136719,AS23969,"PerformanceConnectData(aws_NA=EndpointServerData(ping=1010, connections=ConnectionAttempts(success=46, fail=302), uptime=13.0%), ora_UK=EndpointServerData(ping=829, connections=ConnectionAttempts(success=30, fail=322), uptime=8.0%), ora_JP=EndpointServerData(ping=630, connections=ConnectionAttempts(success=38, fail=313), uptime=10.0%), ms_HK=EndpointServerData(ping=566, connections=ConnectionAttempts(success=47, fail=307), uptime=13.0%))",,"2022-06-09 17:11:28.0","2022-06-09 17:11:36.0",,,
